R:A::C:P,0,1,2,3,4,5,6,7
0,0,21,9,5,14,10,5,9
1,62,0,42,46,23,28,42,37
2,23,36,0,35,30,30,9,9
3,2,6,13,0,5,9,7,8
4,5,1,10,4,0,9,4,6
5,8,5,7,7,14,0,11,5
6,7,14,12,22,28,13,0,14
7,7,2,0,1,1,0,1,0
