R:A::C:P,0 5 6,1,2 3,4
0 5 6,0.13836477987421383,0.031446540880503145,0.0440251572327044,0.0440251572327044
1,0.14465408805031446,0.11320754716981132,0.14465408805031446,0.03773584905660377
2 3,0.06289308176100629,0.031446540880503145,0.14465408805031446,0.018867924528301886
4,0.006289308176100629,0.0,0.018867924528301886,0.018867924528301886
