R:A::C:P,0,1,2 6,3,4 5
0,0.3150684931506849,0.1780821917808219,0.1506849315068493,0.0684931506849315,0.2876712328767123
1,0.21428571428571427,0.25,0.25,0.11071428571428571,0.175
2 6,0.12411347517730496,0.1702127659574468,0.2553191489361702,0.13829787234042554,0.3120567375886525
3,0.08,0.16,0.3,0.18,0.28
4 5,0.14583333333333334,0.08333333333333333,0.28125,0.11458333333333333,0.375
