R:A::C:P,0,1,2,3 4 5 6
0,0.053231939163498096,0.022813688212927757,0.019011406844106463,0.034220532319391636
1,0.12737642585551331,0.0817490494296578,0.07604562737642585,0.1444866920152091
2,0.03231939163498099,0.03802281368821293,0.045627376425855515,0.09505703422053231
3 4 5 6,0.034220532319391636,0.02091254752851711,0.03802281368821293,0.13688212927756654
