R:A::C:P,0,1,2,3,4,5,6,p
0,0,18,1,0,3,2,0,3
1,20,0,13,6,3,7,0,10
2,5,4,0,5,2,3,0,8
3,0,0,3,0,1,0,1,0
4,1,0,0,0,0,0,1,2
5,1,0,1,1,0,0,0,0
6,0,0,0,1,0,0,0,0
p,2,0,1,2,1,0,0,0
