R:A::C:P,0 3,1 5,2 4
0 3,0.4090909090909091,0.4090909090909091,0.18181818181818182
1 5,0.3783783783783784,0.32432432432432434,0.2972972972972973
2 4,0.47619047619047616,0.14285714285714285,0.38095238095238093
