R:A::C:P,0,1 2 5 6,3 4
0,0.08502024291497975,0.05263157894736842,0.032388663967611336
1 2 5 6,0.17408906882591094,0.3805668016194332,0.18218623481781376
3 4,0.004048582995951417,0.04048582995951417,0.048582995951417005
