R:A::C:P,0 1,2 5,3 6,4
0 1,0.4444444444444444,0.12698412698412698,0.047619047619047616,0.06349206349206349
2 5,0.07142857142857142,0.10317460317460317,0.047619047619047616,0.015873015873015872
3 6,0.0,0.007936507936507936,0.031746031746031744,0.007936507936507936
4,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.007936507936507936
