                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   012-3-4-5-6   68.25%     27.69%     23.02%     8.98%   
                   014-2-3-5-6   61.11%     29.33%     27.06%     14.24%  
                   015-2-3-4-6   59.52%     33.82%     29.21%     16.69%  
                   01-23-4-5-6   58.73%     28.65%     27.09%     14.38%  
                   013-2-4-5-6   58.73%     25.73%     24.73%     9.25%   
                   0-123-4-5-6   57.14%     27.38%     25.58%     11.34%  
                   01-25-3-4-6   57.14%     34.69%     29.76%     17.55%  
                   01-24-3-5-6   56.35%     29.41%     26.74%     13.76%  
                   01-2-36-4-5   55.56%     38.02%     31.54%     19.85%  
                   01-2-3-46-5   54.76%     35.69%     30.29%     18.24%  
                   01-2-34-5-6   54.76%     28.58%     26.53%     13.86%  
                   01-2-35-4-6   54.76%     32.19%     28.33%     15.97%  
                   0-125-3-4-6   53.97%     34.32%     28.76%     15.16%  
                   01-2-3-4-56   53.97%     32.69%     28.58%     16.16%  
                   01-2-3-45-6   53.97%     30.55%     27.51%     14.84%  
                   01-26-3-4-5   53.97%     32.45%     28.16%     15.61%  
                   016-2-3-4-5   53.97%     32.54%     28.30%     15.17%  
                   0-124-3-5-6   53.17%     29.19%     25.92%     10.57%  
                   04-12-3-5-6   51.59%     30.49%     26.48%     12.97%  
                   05-12-3-4-6   50.00%     33.90%     27.87%     14.39%  
                   0-12-36-4-5   49.21%     38.20%     30.61%     17.66%  
                   0-12-3-46-5   48.41%     35.86%     29.36%     16.06%  
                   0-12-34-5-6   48.41%     28.75%     25.59%     11.68%  
                   0-12-35-4-6   48.41%     32.36%     27.40%     13.79%  
                   0-12-3-4-56   47.62%     32.86%     27.65%     13.97%  
                   0-12-3-45-6   47.62%     30.72%     26.58%     12.65%  
                   0-126-3-4-5   47.62%     32.74%     27.39%     12.99%  
                   024-1-3-5-6   47.62%     27.87%     25.09%     10.46%  
                   03-12-4-5-6   47.62%     24.61%     22.48%     7.37%   
                   06-12-3-4-5   47.62%     32.52%     27.24%     13.46%  
                   025-1-3-4-6   46.83%     32.39%     27.30%     13.17%  
                   0-1-235-4-6   46.03%     34.66%     31.60%     18.42%  
                   0-134-2-5-6   46.03%     26.88%     27.26%     10.80%  
                   0-135-2-4-6   46.03%     31.74%     29.80%     14.26%  
                   02-13-4-5-6   46.03%     24.38%     23.12%     6.71%   
                   023-1-4-5-6   46.03%     24.32%     22.92%     6.98%   
                   04-1-23-5-6   46.03%     30.34%     29.42%     15.83%  
                   04-13-2-5-6   46.03%     28.30%     28.06%     13.05%  
                   0-1-234-5-6   45.24%     29.31%     28.58%     14.63%  
                   0-13-25-4-6   45.24%     32.67%     30.41%     15.43%  
                   0-14-23-5-6   45.24%     28.83%     28.52%     13.19%  
                   0-15-23-4-6   45.24%     33.64%     31.02%     16.58%  
                   0-13-24-5-6   44.44%     27.39%     27.38%     11.64%  
                   02-14-3-5-6   44.44%     26.57%     23.91%     7.63%   
                   02-15-3-4-6   44.44%     31.39%     26.41%     11.02%  
                   04-1-25-3-6   44.44%     36.38%     32.09%     19.00%  
                   04-15-2-3-6   44.44%     35.31%     31.35%     17.36%  
                   05-1-23-4-6   44.44%     33.75%     30.81%     17.25%  
                   05-13-2-4-6   44.44%     31.71%     29.45%     14.47%  
                   0-1-236-4-5   43.65%     33.60%     31.29%     17.86%  
                   0-136-2-4-5   43.65%     31.14%     29.64%     14.66%  
                   0-14-25-3-6   43.65%     34.87%     31.19%     16.36%  
                   0-145-2-3-6   43.65%     33.69%     30.35%     14.63%  
                   045-1-2-3-6   43.65%     35.07%     30.91%     17.77%  
                   0-1-23-46-5   42.86%     35.71%     32.30%     18.91%  
                   0-1-245-3-6   42.86%     35.09%     31.06%     17.32%  
                   0-13-2-46-5   42.86%     33.67%     30.94%     16.13%  
                   0-15-24-3-6   42.86%     34.40%     30.67%     15.96%  
                   02-1-36-4-5   42.86%     35.79%     28.93%     14.96%  
                   04-1-2-36-5   42.86%     39.72%     33.87%     21.30%  
                   05-14-2-3-6   42.86%     33.90%     30.24%     15.39%  
                   0-1-23-4-56   42.06%     32.71%     30.59%     16.83%  
                   0-1-23-45-6   42.06%     30.57%     29.52%     15.50%  
                   0-1-25-36-4   42.06%     44.09%     36.21%     23.69%  
                   0-13-2-4-56   42.06%     30.67%     29.23%     14.05%  
                   0-13-2-45-6   42.06%     28.53%     28.16%     12.72%  
                   0-13-26-4-5   42.06%     30.43%     28.80%     13.50%  
                   0-14-2-36-5   42.06%     38.20%     32.97%     18.66%  
                   0-15-2-36-4   42.06%     43.02%     35.47%     22.05%  
                   0-16-23-4-5   42.06%     32.59%     30.28%     16.13%  
                   02-1-3-46-5   42.06%     33.46%     27.68%     13.35%  
