                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0123-4-5-6   77.78%     26.80%     25.07%     2.16%   
                    0124-3-5-6   77.78%     30.51%     27.12%     9.03%   
                    0125-3-4-6   76.98%     36.51%     30.19%     14.70%  
                    012-36-4-5   69.84%     41.28%     32.47%     15.80%  
                    012-34-5-6   69.05%     29.47%     26.20%     8.32%   
                    012-35-4-6   69.05%     33.99%     28.46%     10.96%  
                    012-3-46-5   69.05%     38.36%     30.91%     13.80%  
                    0126-3-4-5   68.25%     34.45%     28.47%     8.06%   
                    012-3-45-6   68.25%     31.93%     27.43%     9.54%   
                    012-3-4-56   68.25%     34.61%     28.77%     11.19%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    012-36-4-5   69.84%     41.28%     32.47%     15.80%  
                    012-3-46-5   69.05%     38.36%     30.91%     13.80%  
                    0125-3-4-6   76.98%     36.51%     30.19%     14.70%  
                    012-3-4-56   68.25%     34.61%     28.77%     11.19%  
                    0126-3-4-5   68.25%     34.45%     28.47%     8.06%   
                    012-35-4-6   69.05%     33.99%     28.46%     10.96%  
                    012-3-45-6   68.25%     31.93%     27.43%     9.54%   
                    0124-3-5-6   77.78%     30.51%     27.12%     9.03%   
                    012-34-5-6   69.05%     29.47%     26.20%     8.32%   
                    0123-4-5-6   77.78%     26.80%     25.07%     2.16%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    012-36-4-5   69.84%     41.28%     32.47%     15.80%  
                    012-3-46-5   69.05%     38.36%     30.91%     13.80%  
                    0125-3-4-6   76.98%     36.51%     30.19%     14.70%  
                    012-3-4-56   68.25%     34.61%     28.77%     11.19%  
                    0126-3-4-5   68.25%     34.45%     28.47%     8.06%   
                    012-35-4-6   69.05%     33.99%     28.46%     10.96%  
                    012-3-45-6   68.25%     31.93%     27.43%     9.54%   
                    0124-3-5-6   77.78%     30.51%     27.12%     9.03%   
                    012-34-5-6   69.05%     29.47%     26.20%     8.32%   
                    0123-4-5-6   77.78%     26.80%     25.07%     2.16%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                    012-36-4-5   69.84%     41.28%     32.47%     15.80%  
                    0125-3-4-6   76.98%     36.51%     30.19%     14.70%  
                    012-3-46-5   69.05%     38.36%     30.91%     13.80%  
                    012-3-4-56   68.25%     34.61%     28.77%     11.19%  
                    012-35-4-6   69.05%     33.99%     28.46%     10.96%  
                    012-3-45-6   68.25%     31.93%     27.43%     9.54%   
                    0124-3-5-6   77.78%     30.51%     27.12%     9.03%   
                    012-34-5-6   69.05%     29.47%     26.20%     8.32%   
                    0126-3-4-5   68.25%     34.45%     28.47%     8.06%   
                    0123-4-5-6   77.78%     26.80%     25.07%     2.16%   
