R:A::C:P,0 1,2,3 4 5 6
0 1,0.8484848484848485,0.45454545454545453,0.5263157894736842
2,0.12121212121212122,0.4090909090909091,0.2631578947368421
3 4 5 6,0.030303030303030304,0.13636363636363635,0.21052631578947367
