R:A::C:P,0,1,2,3,4,5 6
0,0.3150684931506849,0.1780821917808219,0.0821917808219178,0.0684931506849315,0.1643835616438356,0.1917808219178082
1,0.21428571428571427,0.25,0.125,0.11071428571428571,0.08214285714285714,0.21785714285714286
2,0.13372093023255813,0.18023255813953487,0.1744186046511628,0.13953488372093023,0.14534883720930233,0.22674418604651161
3,0.08,0.16,0.18,0.18,0.12,0.28
4,0.1794871794871795,0.02564102564102564,0.23076923076923078,0.10256410256410256,0.1794871794871795,0.28205128205128205
5 6,0.11377245508982035,0.1437125748502994,0.10179640718562874,0.1317365269461078,0.19760479041916168,0.31137724550898205
