R:A::C:P,0,1,2 3 4,5 6
0,0.3939393939393939,0.21212121212121213,0.10204081632653061,0.18181818181818182
1,0.42424242424242425,0.6666666666666666,0.3877551020408163,0.36363636363636365
2 3 4,0.15151515151515152,0.12121212121212122,0.4489795918367347,0.45454545454545453
5 6,0.030303030303030304,0.0,0.061224489795918366,0.0
