R:A::C:P,0,1 3 5,2,4,6
0,0.3150684931506849,0.3698630136986301,0.0821917808219178,0.1643835616438356,0.0684931506849315
1 3 5,0.1834625322997416,0.4599483204134367,0.12661498708010335,0.09819121447028424,0.13178294573643412
2,0.13372093023255813,0.47093023255813954,0.1744186046511628,0.14534883720930233,0.0755813953488372
4,0.1794871794871795,0.3333333333333333,0.23076923076923078,0.1794871794871795,0.07692307692307693
6,0.10909090909090909,0.4090909090909091,0.10909090909090909,0.21818181818181817,0.15454545454545454
