R:A::C:P,0,1 3 5,2,4,6
0,0.16911764705882354,0.07848837209302326,0.05660377358490566,0.11320754716981132,0.056179775280898875
1 3 5,0.5220588235294118,0.5174418604651163,0.46226415094339623,0.3584905660377358,0.5730337078651685
2,0.16911764705882354,0.23546511627906977,0.2830188679245283,0.2358490566037736,0.14606741573033707
4,0.051470588235294115,0.0377906976744186,0.08490566037735849,0.0660377358490566,0.033707865168539325
6,0.08823529411764706,0.1308139534883721,0.11320754716981132,0.22641509433962265,0.19101123595505617
