R:A::C:P,0,1 3 5,2,4,6
0,0.029449423815621,0.034571062740076826,0.0076824583866837385,0.015364916773367477,0.006402048655569782
1 3 5,0.09090909090909091,0.22791293213828426,0.06274007682458387,0.04865556978233035,0.06530089628681178
2,0.029449423815621,0.10371318822023047,0.03841229193341869,0.03201024327784891,0.016645326504481434
4,0.008962868117797696,0.016645326504481434,0.011523687580025609,0.008962868117797696,0.0038412291933418692
6,0.015364916773367477,0.05761843790012804,0.015364916773367477,0.030729833546734954,0.02176696542893726
