R:A::C:P,0,1 2 4 5,3,6
0,0.4666666666666667,0.4,0.05,0.08333333333333333
1 2 4 5,0.22661870503597123,0.5,0.1079136690647482,0.16546762589928057
3,0.045454545454545456,0.7272727272727273,0.13636363636363635,0.09090909090909091
6,0.0625,0.8125,0.0625,0.0625
