R:A::C:P,0 5,1,2 3,4
0 5,0.4,0.38095238095238093,0.06060606060606061,0.0
1,0.44,0.47619047619047616,0.45454545454545453,0.0
2 3,0.16,0.14285714285714285,0.45454545454545453,0.0
4,0.0,0.0,0.030303030303030304,1.0
