R:A::C:P,0 4,1,2 5 6,3
0 4,0.3368421052631579,0.1724137931034483,0.125,0.14285714285714285
1,0.4842105263157895,0.4827586206896552,0.4659090909090909,0.37142857142857144
2 5 6,0.16842105263157894,0.3103448275862069,0.3409090909090909,0.37142857142857144
3,0.010526315789473684,0.034482758620689655,0.06818181818181818,0.11428571428571428
