R:A::C:P,0,1 3 5,2,4,6
0,0.43243243243243246,0.36486486486486486,0.0945945945945946,0.08108108108108109,0.02702702702702703
1 3 5,0.21761658031088082,0.42487046632124353,0.11053540587219343,0.13644214162348878,0.11053540587219343
2,0.14181818181818182,0.44727272727272727,0.14909090909090908,0.12363636363636364,0.13818181818181818
4,0.1095890410958904,0.3698630136986301,0.2191780821917808,0.2191780821917808,0.0821917808219178
6,0.12531969309462915,0.40664961636828645,0.10230179028132992,0.14066496163682865,0.22506393861892582
