R:A::C:P,0,1 2,3,4,5 6
0,0.2153846153846154,0.12222222222222222,0.0967741935483871,0.08620689655172414,0.07291666666666667
1 2,0.6461538461538462,0.7055555555555556,0.6451612903225806,0.6379310344827587,0.5104166666666666
3,0.023076923076923078,0.06666666666666667,0.08064516129032258,0.034482758620689655,0.125
4,0.023076923076923078,0.03888888888888889,0.016129032258064516,0.0,0.13541666666666666
5 6,0.09230769230769231,0.06666666666666667,0.16129032258064516,0.2413793103448276,0.15625
