R:A::C:P,0 4,1,2 3 5
0 4,0.42857142857142855,0.3333333333333333,0.23809523809523808
1,0.2777777777777778,0.2777777777777778,0.4444444444444444
2 3 5,0.17391304347826086,0.17391304347826086,0.6521739130434783
