R:A::C:P,antag,fool,other,protag
antag,0.13636363636363635,0.5,0.28,0.030303030303030304
fool,0.045454545454545456,0.0,0.0,0.030303030303030304
other,0.5454545454545454,0.0,0.4,0.5151515151515151
protag,0.2727272727272727,0.5,0.32,0.42424242424242425
