R:A::C:P,0 5 6,1,2,3,4
0 5 6,0.5080213903743316,0.11942959001782531,0.10160427807486631,0.13725490196078433,0.13368983957219252
1,0.4120734908136483,0.2650918635170604,0.10236220472440945,0.08923884514435695,0.13123359580052493
2,0.4036363636363636,0.18181818181818182,0.14909090909090908,0.14181818181818182,0.12363636363636364
3,0.45098039215686275,0.10784313725490197,0.14705882352941177,0.14705882352941177,0.14705882352941177
4,0.3150684931506849,0.0684931506849315,0.2191780821917808,0.1780821917808219,0.2191780821917808
