R:A::C:P,0 5 6,1,2,3,4
0 5 6,0.45819935691318325,0.2863247863247863,0.3392857142857143,0.43258426966292135,0.39473684210526316
1,0.25241157556270094,0.43162393162393164,0.23214285714285715,0.19101123595505617,0.2631578947368421
2,0.17845659163987138,0.21367521367521367,0.24404761904761904,0.21910112359550563,0.17894736842105263
3,0.07395498392282958,0.04700854700854701,0.08928571428571429,0.08426966292134831,0.07894736842105263
4,0.03697749196141479,0.021367521367521368,0.09523809523809523,0.07303370786516854,0.08421052631578947
