R:A::C:P,0 5 6,1,2,3,4
0 5 6,0.20474137931034483,0.048132183908045974,0.040948275862068964,0.05531609195402299,0.05387931034482758
1,0.11278735632183907,0.07255747126436782,0.028017241379310345,0.02442528735632184,0.035919540229885055
2,0.07974137931034483,0.035919540229885055,0.029454022988505746,0.028017241379310345,0.02442528735632184
3,0.033045977011494254,0.007902298850574713,0.010775862068965518,0.010775862068965518,0.010775862068965518
4,0.016522988505747127,0.0035919540229885057,0.011494252873563218,0.009339080459770116,0.011494252873563218
