R:A::C:P,0,1 2,3,4,5 6
0,0.022988505747126436,0.01867816091954023,0.0021551724137931034,0.004310344827586207,0.005028735632183908
1 2,0.09410919540229885,0.16594827586206898,0.05244252873563218,0.0603448275862069,0.09841954022988506
3,0.01221264367816092,0.01867816091954023,0.010775862068965518,0.010775862068965518,0.020833333333333332
4,0.005747126436781609,0.015086206896551725,0.009339080459770116,0.011494252873563218,0.010775862068965518
5 6,0.04741379310344827,0.07040229885057471,0.05316091954022988,0.04956896551724138,0.12931034482758622
