R:A::C:P,0 4,1 5,2,3
0 4,0.42857142857142855,0.42857142857142855,0.09523809523809523,0.047619047619047616
1 5,0.2702702702702703,0.32432432432432434,0.2972972972972973,0.10810810810810811
2,0.21052631578947367,0.15789473684210525,0.3157894736842105,0.3157894736842105
3,0.0,0.0,1.0,0.0
