R:A::C:P,0,1,2,3,4,5,6
0,21,5,4,3,5,1,3
1,33,14,22,13,13,7,12
2,7,8,10,8,6,5,10
3,0,1,3,4,1,2,1
4,1,0,2,2,5,0,1
5,2,0,3,2,0,0,1
6,1,1,0,3,0,1,0
