R:A::C:P,0 4,1 2 5 6,3
0 4,0.13963963963963963,0.08961038961038961,0.0898876404494382
1 2 5 6,0.7882882882882883,0.8389610389610389,0.8258426966292135
3,0.07207207207207207,0.07142857142857142,0.08426966292134831
