R:A::C:P,antag,fool,other,protag
antag,0.006109979633401222,0.0006788866259334691,0.0013577732518669382,0.011541072640868975
fool,0.0027155465037338763,0.010183299389002037,0.0006788866259334691,0.002036659877800407
other,0.21452817379497624,0.1670061099796334,0.35505770536320436,0.2043448744059742
protag,0.006109979633401222,0.0027155465037338763,0.0,0.01493550577053632
