R:A::C:P,0 6,1,2 3 5,4
0 6,0.09308510638297872,0.026595744680851064,0.05053191489361702,0.031914893617021274
1,0.19148936170212766,0.08244680851063829,0.11170212765957446,0.05585106382978723
2 3 5,0.09574468085106383,0.047872340425531915,0.13031914893617022,0.04521276595744681
4,0.010638297872340425,0.0,0.007978723404255319,0.018617021276595744
