R:A::C:P,0 1,2 3,4 6,5
0 1,0.21254801536491677,0.09859154929577464,0.09603072983354674,0.04481434058898848
2 3,0.08450704225352113,0.09218950064020487,0.06402048655569782,0.04353393085787452
4 6,0.04737516005121639,0.05121638924455826,0.06530089628681178,0.026888604353393086
5,0.01792573623559539,0.015364916773367477,0.024327784891165175,0.015364916773367477
