R:A::C:P,0,1 3,2,4 5 6
0,0.12598425196850394,0.05339805825242718,0.041666666666666664,0.023297491039426525
1 3,0.42913385826771655,0.3907766990291262,0.32142857142857145,0.2849462365591398
2,0.15354330708661418,0.21601941747572814,0.24404761904761904,0.18996415770609318
4 5 6,0.29133858267716534,0.33980582524271846,0.39285714285714285,0.5017921146953405
