R:A::C:P,0,1 5,2 4,3
0,0.36363636363636365,0.375,0.043478260869565216,0.09090909090909091
1 5,0.45454545454545453,0.5,0.4782608695652174,0.36363636363636365
2 4,0.18181818181818182,0.125,0.34782608695652173,0.5454545454545454
3,0.0,0.0,0.13043478260869565,0.0
