R:A::C:P,0,1 5,2 4,3
0,0.42105263157894735,0.47368421052631576,0.05263157894736842,0.05263157894736842
1 5,0.2702702702702703,0.32432432432432434,0.2972972972972973,0.10810810810810811
2 4,0.19047619047619047,0.14285714285714285,0.38095238095238093,0.2857142857142857
3,0.0,0.0,1.0,0.0
