R:A::C:P,0,1 5,2 4,3
0,0.1,0.1125,0.0125,0.0125
1 5,0.125,0.15,0.1375,0.05
2 4,0.05,0.0375,0.1,0.075
3,0.0,0.0,0.0375,0.0
