R:A::C:P,0,1 2,3 4 5,6
0,0.08502024291497975,0.03643724696356275,0.03643724696356275,0.012145748987854251
1 2,0.16194331983805668,0.21862348178137653,0.21052631578947367,0.08906882591093117
3 4 5,0.012145748987854251,0.03643724696356275,0.06477732793522267,0.012145748987854251
6,0.004048582995951417,0.004048582995951417,0.016194331983805668,0.0
