R:A::C:P,0,1 4,2,3 5,6
0,0.2153846153846154,0.11805555555555555,0.10638297872340426,0.09734513274336283,0.044444444444444446
1 4,0.5384615384615384,0.5,0.4787234042553192,0.40707964601769914,0.37777777777777777
2,0.13076923076923078,0.20833333333333334,0.2553191489361702,0.26548672566371684,0.2222222222222222
3 5,0.06923076923076923,0.09027777777777778,0.11702127659574468,0.168141592920354,0.17777777777777778
6,0.046153846153846156,0.08333333333333333,0.0425531914893617,0.061946902654867256,0.17777777777777778
