R:A::C:P,0 3,1 2 5 6,4
0 3,0.4268292682926829,0.4268292682926829,0.14634146341463414
1 2 5 6,0.32857142857142857,0.5357142857142857,0.1357142857142857
4,0.21428571428571427,0.2857142857142857,0.5
