R:A::C:P,0 4,1,2,3 5 6
0 4,0.13963963963963963,0.10256410256410256,0.13690476190476192,0.0695970695970696
1,0.31981981981981983,0.43162393162393164,0.23214285714285715,0.1813186813186813
2,0.16441441441441443,0.21367521367521367,0.24404761904761904,0.2032967032967033
3 5 6,0.3761261261261261,0.25213675213675213,0.3869047619047619,0.5457875457875457
