R:A::C:P,0 1,2 3 5,4 6
0 1,0.1752873563218391,0.08117816091954023,0.07040229885057471
2 3 5,0.10488505747126436,0.14511494252873564,0.08979885057471264
4 6,0.07040229885057471,0.14439655172413793,0.11853448275862069
