R:A::C:P,0,1,2,3 4,5 6
0,0.3939393939393939,0.21212121212121213,0.045454545454545456,0.14814814814814814,0.18181818181818182
1,0.42424242424242425,0.6666666666666666,0.4090909090909091,0.37037037037037035,0.36363636363636365
2,0.12121212121212122,0.12121212121212122,0.4090909090909091,0.25925925925925924,0.2727272727272727
3 4,0.030303030303030304,0.0,0.09090909090909091,0.14814814814814814,0.18181818181818182
5 6,0.030303030303030304,0.0,0.045454545454545456,0.07407407407407407,0.0
