R:A::C:P,0 3,1 4,2,5
0 3,0.1125,0.0875,0.05,0.025
1 4,0.175,0.1375,0.15,0.0125
2,0.125,0.0375,0.075,0.0
5,0.0,0.0125,0.0,0.0
