R:A::C:P,0,1 4,2,3 5
0,0.36363636363636365,0.3181818181818182,0.045454545454545456,0.21428571428571427
1 4,0.45454545454545453,0.5,0.5454545454545454,0.35714285714285715
2,0.18181818181818182,0.13636363636363635,0.2727272727272727,0.42857142857142855
3 5,0.0,0.045454545454545456,0.13636363636363635,0.0
