R:A::C:P,0 3 4,1,2,5 6
0 3 4,0.6111111111111112,0.19444444444444445,0.08333333333333333,0.1111111111111111
1,0.4067796610169492,0.3728813559322034,0.15254237288135594,0.06779661016949153
2,0.4074074074074074,0.14814814814814814,0.3333333333333333,0.1111111111111111
5 6,0.75,0.0,0.25,0.0
