R:A::C:P,0,1 5,2 6,3,4
0,0.08502024291497975,0.024291497975708502,0.02834008097165992,0.012145748987854251,0.020242914979757085
1 5,0.1417004048582996,0.08502024291497975,0.15384615384615385,0.06072874493927125,0.05263157894736842
2 6,0.032388663967611336,0.06072874493927125,0.08097165991902834,0.044534412955465584,0.024291497975708502
3,0.0,0.012145748987854251,0.016194331983805668,0.016194331983805668,0.004048582995951417
4,0.004048582995951417,0.0,0.012145748987854251,0.008097165991902834,0.020242914979757085
