R:A::C:P,0,1,2 5,3 4 6
0,0.48148148148148145,0.25925925925925924,0.1111111111111111,0.14814814814814814
1,0.23728813559322035,0.3728813559322034,0.22033898305084745,0.1694915254237288
2 5,0.16666666666666666,0.13333333333333333,0.43333333333333335,0.26666666666666666
3 4 6,0.1,0.0,0.2,0.7
