R:A::C:P,antag,fool,protag
antag,0.39285714285714285,0.2222222222222222,0.34146341463414637
fool,0.25,0.6111111111111112,0.12195121951219512
protag,0.35714285714285715,0.16666666666666666,0.5365853658536586
