R:A::C:P,antag,fool,protag
antag,0.3793103448275862,0.13793103448275862,0.4827586206896552
fool,0.30434782608695654,0.4782608695652174,0.21739130434782608
protag,0.2857142857142857,0.08571428571428572,0.6285714285714286
