R:A::C:P,0 1 2,3,4 5,6
0 1 2,0.5542857142857143,0.11428571428571428,0.23047619047619047,0.10095238095238095
3,0.42,0.18,0.28,0.12
4 5,0.375,0.11458333333333333,0.375,0.13541666666666666
6,0.37272727272727274,0.13636363636363635,0.33636363636363636,0.15454545454545454
