R:A::C:P,0 5,1 4,2 3 6
0 5,0.1580188679245283,0.12028301886792453,0.09558823529411764
1 4,0.3160377358490566,0.4056603773584906,0.27205882352941174
2 3 6,0.5259433962264151,0.4740566037735849,0.6323529411764706
