R:A::C:P,0 4,1,2 5,3
0 4,0.42857142857142855,0.3333333333333333,0.19047619047619047,0.047619047619047616
1,0.2777777777777778,0.2777777777777778,0.3333333333333333,0.1111111111111111
2 5,0.2,0.2,0.3,0.3
3,0.0,0.0,1.0,0.0
