R:A::C:P,0 4,1,2 5,3
0 4,0.391304347826087,0.3333333333333333,0.16,0.09090909090909091
1,0.43478260869565216,0.47619047619047616,0.48,0.36363636363636365
2 5,0.17391304347826086,0.19047619047619047,0.24,0.5454545454545454
3,0.0,0.0,0.12,0.0
