R:A::C:P,0,1,2 3,4 5 6
0,0.3939393939393939,0.21212121212121213,0.02702702702702703,0.2608695652173913
1,0.42424242424242425,0.6666666666666666,0.40540540540540543,0.34782608695652173
2 3,0.12121212121212122,0.12121212121212122,0.4594594594594595,0.30434782608695654
4 5 6,0.06060606060606061,0.0,0.10810810810810811,0.08695652173913043
