R:A::C:P,0,1 3 5,2,4 6
0,0.3230769230769231,0.1125,0.09090909090909091,0.13793103448275862
1 3 5,0.5384615384615384,0.5375,0.6363636363636364,0.4827586206896552
2,0.1076923076923077,0.2625,0.22727272727272727,0.27586206896551724
4 6,0.03076923076923077,0.0875,0.045454545454545456,0.10344827586206896
