                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0126-3-4-5   54.38%     28.44%     26.21%     4.45%   
                    0-1236-4-5   51.44%     33.93%     27.36%     6.75%   
                    0-1246-3-5   51.36%     32.49%     27.15%     6.28%   
                    0-1256-3-4   50.93%     34.10%     27.48%     6.95%   
                    0156-2-3-4   48.99%     29.07%     27.31%     5.33%   
                    0136-2-4-5   48.64%     28.60%     26.86%     4.25%   
                    0146-2-3-5   48.42%     27.25%     26.60%     3.85%   
                    0123-4-5-6   48.20%     31.14%     29.58%     9.55%   
                    0124-3-5-6   48.20%     29.97%     29.42%     9.37%   
                    0-1-2356-4   47.70%     37.82%     32.45%     14.55%  
                    0125-3-4-6   47.05%     31.01%     29.41%     8.94%   
                    0-1356-2-4   46.41%     34.37%     28.46%     7.39%   
                    0-1-2346-5   46.34%     35.66%     31.37%     12.18%  
                    0-1-2456-3   46.05%     35.88%     31.56%     12.44%  
                    0-1346-2-5   45.91%     32.52%     27.78%     5.87%   
                    0-1456-2-3   45.76%     32.80%     28.02%     6.37%   
                    012-3-4-56   45.33%     32.78%     31.40%     11.67%  
                    0-1234-5-6   45.04%     34.68%     30.22%     10.34%  
                    0256-1-3-4   44.97%     30.56%     29.12%     7.25%   
                    0236-1-4-5   44.76%     30.13%     28.73%     6.44%   
                    012-36-4-5   44.54%     31.92%     30.48%     10.37%  
                    01-256-3-4   44.40%     33.82%     31.87%     12.28%  
                    01-236-4-5   44.32%     33.47%     31.53%     11.72%  
                    012-3-46-5   44.04%     30.34%     29.96%     9.18%   
                    0-1235-4-6   43.82%     35.79%     30.17%     9.98%   
                    01-246-3-5   43.53%     31.77%     30.96%     10.31%  
                    0246-1-3-5   43.53%     28.36%     28.03%     4.95%   
                    0-1245-3-6   43.39%     34.33%     29.80%     9.22%   
                    0-1-2-3456   43.10%     37.25%     32.95%     14.37%  
                    01-2-356-4   43.03%     35.26%     33.73%     14.26%  
                    016-23-4-5   42.96%     29.72%     28.07%     6.31%   
                    016-24-3-5   42.67%     28.31%     27.68%     5.44%   
                    016-25-3-4   42.24%     29.32%     27.61%     5.67%   
                    012-35-4-6   42.17%     33.44%     31.43%     12.20%  
                    0-126-35-4   41.95%     35.54%     28.05%     8.68%   
                    0356-1-2-4   41.74%     31.78%     30.34%     9.53%   
                    01-2-3-456   41.67%     33.31%     32.77%     12.41%  
                    012-34-5-6   41.67%     31.82%     30.50%     11.02%  
                    0-124-3-56   41.59%     35.80%     31.41%     11.67%  
                    0134-2-5-6   41.59%     30.08%     29.25%     8.74%   
                    016-2-35-4   41.59%     30.73%     28.42%     7.20%   
                    0-12-356-4   41.45%     37.74%     31.96%     13.54%  
                    0-126-34-5   41.45%     33.92%     27.11%     7.50%   
                    0135-2-4-6   41.38%     31.33%     29.61%     9.06%   
                    012-3-45-6   41.31%     31.38%     30.22%     10.62%  
                    01-2-346-5   41.24%     32.71%     32.20%     11.55%  
                    0-123-4-56   41.16%     36.91%     31.34%     11.76%  
                    0-126-3-45   41.09%     33.47%     26.83%     7.10%   
                    016-2-34-5   41.09%     29.11%     27.48%     6.02%   
                    05-126-3-4   41.02%     30.30%     25.72%     5.46%   
                    03-126-4-5   40.88%     29.68%     25.35%     4.96%   
                    0-124-36-5   40.80%     34.94%     30.48%     10.36%  
                    0145-2-3-6   40.80%     30.02%     29.18%     8.44%   
                    016-2-3-45   40.73%     28.66%     27.20%     5.62%   
                    014-2-3-56   40.59%     32.22%     31.47%     11.18%  
                    014-26-3-5   40.52%     30.41%     28.79%     8.60%   
                    04-126-3-5   40.45%     28.90%     24.73%     4.40%   
                    0-14-256-3   40.37%     35.21%     30.56%     10.72%  
                    0-14-236-5   40.30%     34.87%     30.23%     10.16%  
                    013-2-4-56   40.30%     32.99%     31.44%     11.09%  
                    013-26-4-5   40.23%     31.18%     28.76%     8.52%   
                    0-12-3-456   40.09%     35.79%     31.00%     11.69%  
                    0456-1-2-3   39.94%     29.76%     29.31%     7.60%   
                    0-123-46-5   39.87%     34.46%     29.90%     9.27%   
                    014-2-36-5   39.80%     31.36%     30.55%     9.88%   
                    015-26-3-4   39.80%     31.26%     28.82%     8.51%   
                    0-12-346-5   39.66%     35.19%     30.43%     10.82%  
                    0-13-256-4   39.66%     35.88%     30.13%     10.42%  
                    0-146-23-5   39.66%     33.24%     28.46%     7.07%   
                    0-156-23-4   39.66%     34.93%     28.93%     8.17%   
                    06-124-3-5   39.58%     28.33%     27.77%     5.36%   
                    01-23-4-56   39.51%     35.42%     34.11%     14.10%  
                    01-235-4-6   39.51%     35.19%     33.66%     13.99%  
                    01-234-5-6   39.44%     33.75%     33.20%     13.19%  
                    0-156-24-3   39.37%     33.52%     28.54%     7.29%   
                    0346-1-2-5   39.37%     29.09%     28.74%     6.51%   
                    056-12-3-4   39.30%     30.66%     28.68%     7.65%   
                    01-24-3-56   39.22%     34.01%     33.72%     13.22%  
                    0-136-24-5   39.15%     33.12%     28.14%     6.52%   
                    06-123-4-5   39.15%     29.44%     27.70%     5.45%   
                    0-125-36-4   39.08%     35.77%     30.03%     9.62%   
                    015-2-36-4   39.08%     32.22%     30.58%     9.78%   
                    02-146-3-5   39.08%     27.33%     26.37%     3.31%   
                    02-156-3-4   39.08%     29.03%     26.84%     4.40%   
                    0-14-2-356   39.01%     36.66%     32.43%     12.71%  
                    0-15-236-4   39.01%     35.40%     29.60%     9.54%   
                    013-2-46-5   39.01%     30.54%     30.00%     8.61%   
                    0-146-25-3   38.94%     32.84%     28.00%     6.42%   
                    02-136-4-5   38.86%     28.63%     26.44%     3.63%   
                    0-1-2345-6   38.79%     37.67%     33.30%     14.61%  
                    0-13-246-5   38.79%     33.83%     29.21%     8.45%   
                    014-23-5-6   38.79%     31.88%     31.16%     10.82%  
                    0-136-25-4   38.72%     34.14%     28.07%     6.75%   
                    0-1-24-356   38.65%     37.77%     33.80%     14.46%  
                    0-125-3-46   38.58%     34.18%     29.51%     8.44%   
                    015-2-3-46   38.58%     30.63%     30.06%     8.60%   
                    026-14-3-5   38.51%     27.88%     27.27%     3.95%   
                    0-1-256-34   38.43%     37.12%     31.73%     13.06%  
                    0-124-35-6   38.43%     36.46%     31.44%     12.19%  
                    01-24-36-5   38.43%     33.15%     32.80%     11.92%  
                    01-245-3-6   38.36%     33.24%     32.71%     12.36%  
                    02-1-356-4   38.36%     33.28%     32.10%     11.57%  
                    036-12-4-5   38.36%     29.75%     27.85%     6.27%   
                    0-146-2-35   38.29%     34.24%     28.81%     7.95%   
                    0-15-246-3   38.22%     33.70%     29.02%     8.14%   
                    01-23-46-5   38.22%     32.98%     32.67%     11.61%  
