R:A::C:P,0 1 2 3,4 5,6
0 1 2 3,0.8220338983050848,0.1694915254237288,0.00847457627118644
4 5,0.7142857142857143,0.14285714285714285,0.14285714285714285
6,1.0,0.0,0.0
