R:A::C:P,0 6,1,2,3,4,5
0 6,0.4,0.17857142857142858,0.08,0.0967741935483871,0.3684210526315789,0.18181818181818182
1,0.4,0.6428571428571429,0.44,0.3870967741935484,0.3157894736842105,0.45454545454545453
2,0.13333333333333333,0.14285714285714285,0.32,0.3548387096774194,0.05263157894736842,0.36363636363636365
3,0.0,0.03571428571428571,0.08,0.06451612903225806,0.10526315789473684,0.0
4,0.022222222222222223,0.0,0.04,0.06451612903225806,0.15789473684210525,0.0
5,0.044444444444444446,0.0,0.04,0.03225806451612903,0.0,0.0
