R:A::C:P,0 1 2,3,4 5 6
0 1 2,0.6444444444444445,0.11358024691358025,0.2419753086419753
3,0.4411764705882353,0.14705882352941177,0.4117647058823529
4 5 6,0.39080459770114945,0.12643678160919541,0.4827586206896552
