R:A::C:P,0 2 4,1,3 5
0 2 4,0.4666666666666667,0.47619047619047616,0.6428571428571429
1,0.4666666666666667,0.47619047619047616,0.35714285714285715
3 5,0.06666666666666667,0.047619047619047616,0.0
