R:A::C:P,0 3,1,2,4 5 6
0 3,0.048132183908045974,0.021551724137931036,0.015804597701149427,0.040948275862068964
1,0.09051724137931035,0.07255747126436782,0.028017241379310345,0.08261494252873564
2,0.05603448275862069,0.035919540229885055,0.029454022988505746,0.07614942528735633
4 5 6,0.11566091954022989,0.03807471264367816,0.04741379310344827,0.20114942528735633
