R:A::C:P,0 3,1,2,4 5 6
0 3,0.1550925925925926,0.1282051282051282,0.13095238095238096,0.10215053763440861
1,0.2916666666666667,0.43162393162393164,0.23214285714285715,0.2060931899641577
2,0.18055555555555555,0.21367521367521367,0.24404761904761904,0.18996415770609318
4 5 6,0.3726851851851852,0.2264957264957265,0.39285714285714285,0.5017921146953405
