R:A::C:P,0,1,2,3,4,5,6
0,0.0,0.6875,0.09523809523809523,0.05405405405405406,0.4117647058823529,0.15384615384615385,0.0
1,0.7428571428571429,0.0,0.6190476190476191,0.4594594594594595,0.4117647058823529,0.5384615384615384,0.0
2,0.17142857142857143,0.25,0.0,0.35135135135135137,0.058823529411764705,0.3076923076923077,0.5
3,0.0,0.03125,0.19047619047619047,0.0,0.11764705882352941,0.0,0.0
4,0.02857142857142857,0.03125,0.047619047619047616,0.08108108108108109,0.0,0.0,0.25
5,0.02857142857142857,0.0,0.047619047619047616,0.02702702702702703,0.0,0.0,0.25
6,0.02857142857142857,0.0,0.0,0.02702702702702703,0.0,0.0,0.0
